,primaryMedia,Name,Date,peopleObjectsLink
17,,Herman Roderick Volz,"American, born Switzerland, 1904 - 1990",View All Works Related to Herman Roderick Volz (5)
18,,Adam von Bartsch,"Austrian, 1757 - 1821",View All Works Related to Adam von Bartsch (1)
19,,Franz von Bayros,"Austrian, born Croatia, 1866 - 1924",View All Works Related to Franz von Bayros (2)
20,Image Not Available for Philip von Raabe,Philip von Raabe,"American, born 1943",
21,,Jacopo da Voragine,"Italian, ca. 1230 - 1298",View All Works Related to Jacopo da Voragine (2)
22,,Joseph Vorst,"American, 1887 - 1947",View All Works Related to Joseph Vorst (2)
23,,Maarten de Vos,"Flemish, 1532 - 1603",View All Works Related to Maarten de Vos (3)
24,,Eduoard Vuillard,"French, 1868 - 1940",View All Works Related to Eduoard Vuillard (1)
25,,Joyce Wagner,,View All Works Related to Joyce Wagner (1)
26,,Theodore Wahl,"American, 1904 - 1993",View All Works Related to Theodore Wahl (1)
27,Image Not Available for Jim Waid,Jim Waid,"American, born 1942",
28,,James Faure Walker,"British, born 1948",View All Works Related to James Faure Walker (1)
29,,Kara Walker,"American, born 1969",View All Works Related to Kara Walker (1)
30,,Abraham Walkowitz,"American, 1880 - 1965",View All Works Related to Abraham Walkowitz (1)
31,,Jeff Wall,"Canadian, born 1946",View All Works Related to Jeff Wall (1)
32,,William Walmsley,"American, 1923 - 2003",View All Works Related to William Walmsley (1)
33,,Daniel Wang,"American, born 1968",View All Works Related to Daniel Wang (90)
34,,Lynd Ward,"American, 1905 - 1985",View All Works Related to Lynd Ward (2)
35,,Andy Warhol,"American, 1928 - 1987",View All Works Related to Andy Warhol (164)
36,,Hyman Warsager,"American, 1909 - 1974",View All Works Related to Hyman Warsager (2)
37,,Sadao Watanabe,"Japanese, 1913 - 1996",View All Works Related to Sadao Watanabe (1)
38,,Carol Wax,"American, born 1953",View All Works Related to Carol Wax (1)
39,,Gillian Wearing,"British, born 1963",View All Works Related to Gillian Wearing (2)
40,,Mary Weatherford,"American, born 1963",View All Works Related to Mary Weatherford (4)
41,Image Not Available for Ian Weaver,Ian Weaver,"American, born 1975",
42,,Marshal Weber,,View All Works Related to Marshal Weber (1)
43,,Max Weber,"American, 1881 - 1961",View All Works Related to Max Weber (1)
44,,Carrie Mae Weems,"American, born 1953",View All Works Related to Carrie Mae Weems (1)
45,,"Christopher Weigel, the Elder","German, 1654 - 1725","View All Works Related to Christopher Weigel, the Elder (1)"
46,,Robert Weil,American,View All Works Related to Robert Weil (1)
47,,Abraham S. Weiner,"American, 1897 - 1982",View All Works Related to Abraham S. Weiner (1)
48,,Lawrence Weiner,"American, born 1942",View All Works Related to Lawrence Weiner (1)
49,,Louis Weiner,"American, 1892 - 1967",View All Works Related to Louis Weiner (1)
0,,Ruth Weisberg,"American, born 1942",View All Works Related to Ruth Weisberg (1)
1,,Claude Weisbuch,"French, born 1927",View All Works Related to Claude Weisbuch (3)
2,,Ray Weiss,"Origin unknown, born 1889",View All Works Related to Ray Weiss (2)
3,Image Not Available for Charles Wells,Charles Wells,"American, born 1935",
4,,Telman Von Wesel,"German, active 1490 - 1510",View All Works Related to Telman Von Wesel (1)
5,Image Not Available for Fred Wessel,Fred Wessel,"American, born 1946",
6,,Horace Clifford Westermann,"American, 1922 - 1981",View All Works Related to Horace Clifford Westermann (1)
7,,Brett Weston,"American, 1911 - 1993",View All Works Related to Brett Weston (50)
8,,Don Weygandt,"American, born 1926",View All Works Related to Don Weygandt (1)
9,,Margaret Wharton,"American, born 1943",View All Works Related to Margaret Wharton (1)
10,,James A. McNeill Whistler,"American, 1834 - 1903",View All Works Related to James A. McNeill Whistler (5)
11,,Eileen Whitaker,"American, 1911 - 2005",View All Works Related to Eileen Whitaker (1)
12,,Charles S. White,,View All Works Related to Charles S. White (1)
13,,Frances Whitehead,"American, born 1935",View All Works Related to Frances Whitehead (1)
14,,Pae White,"American, born 1963",View All Works Related to Pae White (1)
15,,John Whitesell,"American, born 1942",View All Works Related to John Whitesell (1)
16,,Marilyn Whitesell,"American, born 1950",View All Works Related to Marilyn Whitesell (1)
17,,White Wire,,View All Works Related to White Wire (1)
18,,Guy Whitney,American,View All Works Related to Guy Whitney (1)
19,Image Not Available for Ann Wiens,Ann Wiens,American,
20,,Johan Wierix,"Belgian, 1549 - ca. 1618",View All Works Related to Johan Wierix (1)
21,,William T. Wiley,"American, born 1937",View All Works Related to William T. Wiley (3)
22,,Ulfert Wilke,"American, born Germany, 1907 - 1988",View All Works Related to Ulfert Wilke (1)
23,,Adolphe Willette,"French, 1857 - 1926",View All Works Related to Adolphe Willette (1)
24,,Ted Williams,"American, 1925 - 2009",View All Works Related to Ted Williams (4)
25,,Hubert Wilm,"German, 1887 - 1953",View All Works Related to Hubert Wilm (1)
26,,Douglas Wilson,"American, born Scotland, 1916 - 1981",View All Works Related to Douglas Wilson (2)
27,,Fred Wilson,"American, born 1954",View All Works Related to Fred Wilson (1)
28,,Jane and Louise Wilson,"British, born 1967",View All Works Related to Jane and Louise Wilson (3)
29,,Mark Wilson,"American, born 1943",View All Works Related to Mark Wilson (1)
30,,Will Wilson,"Diné/Bilagaana, born 1969",View All Works Related to Will Wilson (2)
31,,Garry Winogrand,"American, 1928 - 1984",View All Works Related to Garry Winogrand (1)
32,,Terry Winters,"American, born 1949",View All Works Related to Terry Winters (1)
33,,Karl Wirsum,"American, born 1939",View All Works Related to Karl Wirsum (6)
34,,Heinrich Wolff,"German, 1875 - 1940",View All Works Related to Heinrich Wolff (3)
35,,Michael Wolgemut,"German, 1493 - 1519",View All Works Related to Michael Wolgemut (1)
36,,Wooden Leg Press,,View All Works Related to Wooden Leg Press (1)
37,,Grant Wood,"American, 1891 - 1942",View All Works Related to Grant Wood (1)
38,,Christopher Wool,"American, born 1955",View All Works Related to Christopher Wool (1)
39,,"Works Progress Administration, Federal Art Project",,"View All Works Related to Works Progress Administration, Federal Art Project (3)"
40,Image Not Available for Monika Wulfers,Monika Wulfers,"German, born 1942",
41,,Paul Wunderlich,"German, 1927 - 2010",View All Works Related to Paul Wunderlich (1)
42,,Ron Wyffles,American,View All Works Related to Ron Wyffles (1)
43,,Pete Yahnke,,View All Works Related to Pete Yahnke (1)
44,,C. J. Yao,"Taiwanese, 1941 - 2000",View All Works Related to C. J. Yao (1)
45,,Maurice Yochim,"American, born Ukraine 1909 - 1986",View All Works Related to Maurice Yochim (2)
46,,Barbara Yoshida,American,View All Works Related to Barbara Yoshida (1)
47,,Bec Young,,View All Works Related to Bec Young (1)
48,,Judy Youngblood,"American, born 1948",View All Works Related to Judy Youngblood (3)
49,,Jack Youngerman,"American, born 1926",View All Works Related to Jack Youngerman (1)
0,,Purvis Young,"American, 1943 - 2010",View All Works Related to Purvis Young (26)
1,,Adja Yunkers,"Latvian, 1900 - 1983",View All Works Related to Adja Yunkers (5)
2,,Ossip Zadkine,"French, born Belarus, 1890 - 1967",View All Works Related to Ossip Zadkine (1)
3,,Gunther Zainer,"German, died 1478",View All Works Related to Gunther Zainer (1)
4,,Edward Zajec,"Slovenian, born Italy, 1938",View All Works Related to Edward Zajec (2)
5,Image Not Available for Toby Zallman,Toby Zallman,American,
6,,Matthäus Zasinger,"German, active ca. 1500",View All Works Related to Matthäus Zasinger (1)
7,,Claire Zeisler,"American, 1903 - 1991",View All Works Related to Claire Zeisler (1)
8,Image Not Available for Lynn Zetzman,Lynn Zetzman,"American, born 1956",
9,,Santos Zingale,"American, 1908 - 1999",View All Works Related to Santos Zingale (1)
10,,Anders Zorn,"Swedish, 1860 - 1920",View All Works Related to Anders Zorn (4)
11,,Larry Zox,"American, 1937 - 2006",View All Works Related to Larry Zox (12)
12,,Joe Zucker,"American, born 1941",View All Works Related to Joe Zucker (7)
13,,William Zuehlke,American,View All Works Related to William Zuehlke (1)
14,,Vladimir Zuev,"Russian, born 1959",View All Works Related to Vladimir Zuev (5)
15,,Vuminkosi Zulu,"South African, 1948 - 1996",View All Works Related to Vuminkosi Zulu (1)
16,,Francisco Zúñiga,"Mexican, born Costa Rica, 1913 - 1998",View All Works Related to Francisco Zúñiga (1)
17,,Terri Zupanc,"American, born 1955",View All Works Related to Terri Zupanc (6)
